pair_uid,data_bucket,candidate_language,split_name,split_component_id,review_label,review_stratum,usable_for_supervision,usable_for_core_transfer,candidate_rule_hits,shared_contact_count,shared_pgp_fingerprint_count,shared_title_count,shared_description_count,embedding_cosine_multilingual_e5_large,embedding_cosine_bge_m3,embedding_cosine_labse,structural_support_score_raw,source_seller_raw_left,source_seller_raw_right,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,has_direct_identifier_signal,has_template_clone_signal,has_semantic_topic_signal,has_public_contact_or_url_noise_signal,evidence_type_reasons
market_item.xlsx|silk road 3.1|seller_raw:gunguy||market_item.xlsx|silk road 3.1|seller_raw:tatachemicals,en_content_train_pool,en,valid,comp_00217,positive,identifier_primary,1,1,,,,,,0.786765,0.757651,0.724278,0.28875,gunguy,tatachemicals,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|agartha market|seller_raw:biomed||market_item.xlsx|agartha market|seller_raw:massiveshop,en_content_train_pool,en,test,comp_00050,positive,identifier_plus_text,1,1,,,,,,0.935303,0.952406,0.966855,0.613912,biomed,massiveshop,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|Cartel|seller_raw:Muankum12||market_item.xlsx|darkfox market|seller_raw:ThaKingDadpop,en_content_train_pool,en,test,comp_00016,positive,text_clone_primary,1,1,,,,,,0.945349,0.928322,0.963172,0.564688,Muankum12,ThaKingDadpop,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:asimpleuser||market_item.xlsx|silk road 3.1|seller_raw:fluxay,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.938343,0.941086,0.978444,0.625,asimpleuser,fluxay,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:Buytheworld||market_item.xlsx|silk road 3.1|seller_raw:Counterfeitnotes,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.899673,0.905087,0.913992,0.223062,Buytheworld,Counterfeitnotes,uncertain,uncertain_insufficient_evidence,0,0,1,0,1,1,uncertain_or_not_supervision_label
market_item.xlsx|silk road 3.1|seller_raw:lorialex903||market_item.xlsx|silk road 3.1|seller_raw:vagi,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_plus_text,0,0,,,,,,0.905092,0.865386,0.854841,0.606376,lorialex903,vagi,uncertain,uncertain_insufficient_evidence,0,0,1,1,0,1,uncertain_or_not_supervision_label
market_item.xlsx|darkfox market|seller_raw:peterpaperguy||market_item.xlsx|versus market|seller_raw:peterpaperdude,en_content_train_pool,en,train,comp_00158,positive,text_clone_primary,1,1,,,,,,0.921541,0.909054,0.920465,0.582203,peterpaperguy,peterpaperdude,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|versus market|seller_raw:fraudbuddy||market_item.xlsx|versus market|seller_raw:melvinbankz,en_content_train_pool,en,test,comp_00022,negative,semantic_structural,1,1,,,,,,0.91453,0.894411,0.94549,0.706447,fraudbuddy,melvinbankz,different_controller,public_contact_or_url_noise,1,1,0,0,0,1,review_notes_public_or_non_seller_keyword
market_item.xlsx|dark0de|seller_raw:coady2011||market_item.xlsx|incognito|seller_raw:/vendor/vinicius12,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.853478,0.807541,0.863029,0.320251,coady2011,/vendor/vinicius12,uncertain,uncertain_insufficient_evidence,0,0,1,0,1,1,uncertain_or_not_supervision_label
market_item.xlsx|agartha market|seller_raw:Rozaydaplug||market_item.xlsx|agartha market|seller_raw:westernunionstore,en_content_train_pool,en,train,comp_00030,negative,semantic_only,1,1,,,,,,0.929937,0.911655,0.861328,0.382878,Rozaydaplug,westernunionstore,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Lime|seller_raw:programmers||market_item.xlsx|apollon market|seller_raw:kingslord (100%),en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_plus_text,0,0,,,,,,0.915145,0.8543,0.89353,0.50171,programmers,kingslord (100%),uncertain,uncertain_insufficient_evidence,0,0,1,1,0,1,uncertain_or_not_supervision_label
market_item.xlsx|apollon market|seller_raw:StealthPharmacy (100%)||market_item.xlsx|versus market|seller_raw:Diazeman,en_content_train_pool,en,train,comp_00092,positive,text_clone_primary,1,1,,,,,,0.940652,0.930267,0.963115,0.588586,StealthPharmacy (100%),Diazeman,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Stackx||market_item.xlsx|silk road 3.1|seller_raw:kkarolekk12,en_content_train_pool,en,test,comp_00202,negative,semantic_structural,1,1,,,,,,0.933373,0.934995,0.909748,0.855088,Stackx,kkarolekk12,different_controller,public_contact_or_url_noise,1,1,0,0,0,1,review_notes_public_or_non_seller_keyword
market_item.xlsx|silk road 3.1|seller_raw:Mrroxy||market_item.xlsx|silk road 3.1|seller_raw:bodypartsguy,en_content_train_pool,en,valid,comp_00217,positive,identifier_primary,1,1,,,,,,0.833537,0.747601,0.664319,0.123012,Mrroxy,bodypartsguy,same_controller,same_controller_direct_identifier,1,1,1,1,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Ray Ban RB4175 Flash Lenses Sunglasses Replica鈼? 鈽?For whom(M/F): Unisex  鈽?Color: 鈽咶rame: Brown | Lens: Brown   鈽?Description: This Ray Ban RB4175 Flash Lenses Sunglasses Replica are 1:1  ...||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:ce DefQon Partyflock Mortal Kombat  Green Android Yellow Bullet   Yel ...,en_content_train_pool,en,valid,comp_00005,negative,semantic_only,1,1,,,,,,0.780464,0.75062,0.718463,0.333333,Ray Ban RB4175 Flash Lenses Sunglasses Replica鈼? 鈽?For whom(M/F): Unisex  鈽?Color: 鈽咶rame: Brown | Lens: Brown   鈽?Description: This Ray Ban RB4175 Flash Lenses Sunglasses Replica are 1:1  ...,ce DefQon Partyflock Mortal Kombat  Green Android Yellow Bullet   Yel ...,different_controller,semantic_topic_not_controller,1,1,0,0,1,0,embedding_cosine_gte_multilingual_base>=0.8
market_item.xlsx|Lime|seller_raw:Hackman4all||market_item.xlsx|agartha market|seller_raw:blackhathacker,en_content_train_pool,en,test,comp_00033,positive,identifier_plus_text,1,1,,,,,,0.928733,0.891064,0.9592,0.211293,Hackman4all,blackhathacker,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|dark0de|seller_raw:sluts||market_item.xlsx|versus market|seller_raw:sluts1,en_content_train_pool,en,train,comp_00140,positive,text_clone_primary,1,1,,,,,,0.979355,0.955707,0.98802,0.669902,sluts,sluts1,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Sfattinopuzzino94||market_item.xlsx|silk road 3.1|seller_raw:madrunn89,en_content_train_pool,en,train,comp_00234,negative,semantic_structural,1,1,,,,,,0.968144,0.958832,0.945795,0.960179,Sfattinopuzzino94,madrunn89,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:Arizona3333||market_item.xlsx|silk road 3.1|seller_raw:hayes0mdm,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.959362,0.937958,0.913297,0.822664,Arizona3333,hayes0mdm,uncertain,uncertain_insufficient_evidence,0,0,1,1,0,1,uncertain_or_not_supervision_label
market_item.xlsx|silk road 3.1|seller_raw:brownsugar||market_item.xlsx|silk road 3.1|seller_raw:uomochupito,en_content_train_pool,en,train,comp_00253,negative,semantic_only,1,1,,,,,,0.914534,0.84833,0.847576,0.355466,brownsugar,uomochupito,different_controller,template_clone_not_controller,1,1,0,1,0,0,feature_shared_low_df_sentence_count
market_item.xlsx|Lime|seller_raw:Lowkey||market_item.xlsx|agartha market|seller_raw:carrier,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_plus_text,0,0,,,,,,0.894281,0.894036,0.910157,0.181285,Lowkey,carrier,uncertain,uncertain_insufficient_evidence,0,0,1,1,0,1,uncertain_or_not_supervision_label
market_item.xlsx|vice city|seller_raw:AudiRS7||market_item.xlsx|vice city|seller_raw:FedEx,en_content_train_pool,en,uncertain_holdout,,uncertain,text_clone_primary,0,0,,,,,,0.957515,0.920349,0.936069,0.649636,AudiRS7,FedEx,uncertain,uncertain_insufficient_evidence,0,0,0,1,0,0,uncertain_or_not_supervision_label
market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:caug,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.921367,0.901755,0.911281,0.745028,Ahero,caug,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:maryjohanna||market_item.xlsx|silk road 3.1|seller_raw:riri903,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.943509,0.939663,0.918524,0.81557,maryjohanna,riri903,uncertain,uncertain_insufficient_evidence,0,0,1,0,0,1,uncertain_or_not_supervision_label
market_item.xlsx|agartha market|seller_raw:Rozaydaplug||market_item.xlsx|agartha market|seller_raw:USA_PITCHER,en_content_train_pool,en,train,comp_00030,negative,semantic_only,1,1,,,,,,0.916347,0.900658,0.912682,0.331665,Rozaydaplug,USA_PITCHER,different_controller,semantic_topic_not_controller,1,1,0,0,1,0,embedding_cosine_bge_m3>=0.8|embedding_cosine_gte_multilingual_base>=0.8|embedding_cosine_labse>=0.8|embedding_cosine_multilingual_e5_large>=0.8
market_item.xlsx|silk road 3.1|seller_raw:maryjohanna||market_item.xlsx|silk road 3.1|seller_raw:welcuredrugs,en_content_train_pool,en,train,comp_00274,positive,identifier_plus_text,1,1,,,,,,0.921029,0.894387,0.839782,0.430158,maryjohanna,welcuredrugs,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen||market_item.xlsx|silk road 3.1|seller_raw:caug,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.912097,0.893717,0.904254,0.745028,Bnnemannen,caug,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:NovemberMan||market_item.xlsx|silk road 3.1|seller_raw:pharmagrade,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.902436,0.883383,0.83238,0.321954,NovemberMan,pharmagrade,uncertain,uncertain_insufficient_evidence,0,0,1,0,1,1,uncertain_or_not_supervision_label
market_item.xlsx|apollon market|seller_raw:JustRelax (100%)||market_item.xlsx|cannazon market|seller_raw:PappaHasch,en_content_train_pool,en,train,comp_00079,negative,semantic_only,1,1,,,,,,0.921602,0.883075,0.831823,0.240003,JustRelax (100%),PappaHasch,different_controller,semantic_topic_not_controller,1,1,0,0,1,0,embedding_cosine_bge_m3>=0.8|embedding_cosine_gte_multilingual_base>=0.8|embedding_cosine_labse>=0.8|embedding_cosine_multilingual_e5_large>=0.8
market_item.xlsx|silk road 3.1|seller_raw:cdouble02||market_item.xlsx|silk road 3.1|seller_raw:lexylance,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_plus_text,0,0,,,,,,0.944001,0.926258,0.926503,0.344589,cdouble02,lexylance,uncertain,uncertain_insufficient_evidence,0,0,1,1,0,1,uncertain_or_not_supervision_label
market_item.xlsx|apollon market|seller_raw:mysteryland (98%)||market_item.xlsx|apollon market|seller_raw:tomorrowland (100%),en_content_train_pool,en,uncertain_holdout,,uncertain,text_clone_primary,0,0,,,,,,0.952036,0.923001,0.939758,0.57727,mysteryland (98%),tomorrowland (100%),uncertain,uncertain_insufficient_evidence,0,0,0,1,0,0,uncertain_or_not_supervision_label
market_item.xlsx|silk road 3.1|seller_raw:FABIUS007||market_item.xlsx|silk road 3.1|seller_raw:caug,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.926324,0.897825,0.882713,0.745028,FABIUS007,caug,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:Loyal4royal||market_item.xlsx|silk road 3.1|seller_raw:prohack,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.927669,0.876217,0.921937,0.792822,Loyal4royal,prohack,uncertain,uncertain_insufficient_evidence,0,0,1,0,0,1,uncertain_or_not_supervision_label
market_item.xlsx|monopoly market|seller_raw:MickeyMouseNL||market_item.xlsx|vice city|seller_raw:MickeyMouseNLL,en_content_train_pool,en,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.957531,0.939082,0.866242,0.107044,MickeyMouseNL,MickeyMouseNLL,uncertain,uncertain_insufficient_evidence,0,0,0,1,1,0,uncertain_or_not_supervision_label
market_item.xlsx|Lime|seller_raw:Mrking||market_item.xlsx|darkfox market|seller_raw:Namara44,en_content_train_pool,en,test,comp_00034,positive,identifier_plus_text,1,1,,,,,,0.922801,0.910103,0.914498,0.416311,Mrking,Namara44,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:HighQaulityTrip||market_item.xlsx|silk road 3.1|seller_raw:caug,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.926744,0.906457,0.911184,0.745028,HighQaulityTrip,caug,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Lime|seller_raw:quick45||market_item.xlsx|darkfox market|seller_raw:usdrill,en_content_train_pool,en,train,comp_00045,positive,identifier_primary,1,1,,,,,,0.905999,0.876447,0.843103,0.212842,quick45,usdrill,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|vice city|seller_raw:FedEx||market_item.xlsx|vice city|seller_raw:KitKat,en_content_train_pool,en,test,comp_00012,negative,semantic_only,1,1,,,,,,0.927134,0.919644,0.864622,0.473398,FedEx,KitKat,different_controller,template_clone_not_controller,1,1,0,1,0,0,feature_shared_low_df_sentence_count
market_item.xlsx|silk road 3.1|seller_raw:kidney||market_item.xlsx|silk road 3.1|seller_raw:vagi,en_content_train_pool,en,test,comp_00154,positive,identifier_plus_text,1,1,,,,,,0.923367,0.870719,0.848159,0.590147,kidney,vagi,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|dark0de|seller_raw:theroyaldankclub||market_item.xlsx|darkfox market|seller_raw:r0yaldankclub,en_content_train_pool,en,uncertain_holdout,,uncertain,text_clone_primary,0,0,,,,,,0.939581,0.941054,0.953146,0.583993,theroyaldankclub,r0yaldankclub,uncertain,uncertain_insufficient_evidence,0,0,0,1,0,1,uncertain_or_not_supervision_label
market_item.xlsx|silk road 3.1|seller_raw:TheExpansionsLevande||market_item.xlsx|silk road 3.1|seller_raw:caug,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.91101,0.905514,0.912912,0.745028,TheExpansionsLevande,caug,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Lime|seller_raw:grandmaster||market_item.xlsx|Lime|seller_raw:ketplug,en_content_train_pool,en,train,comp_00030,positive,identifier_primary,1,1,,,,,,0.920767,0.888056,0.948602,0.779848,grandmaster,ketplug,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:blackgoods||market_item.xlsx|silk road 3.1|seller_raw:premium,en_content_train_pool,en,train,comp_00251,negative,semantic_only,1,1,,,,,,0.933529,0.895114,0.928079,0.467722,blackgoods,premium,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:kalemeds||market_item.xlsx|silk road 3.1|seller_raw:vagi,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_plus_text,0,0,,,,,,0.913155,0.879388,0.887017,0.489684,kalemeds,vagi,uncertain,uncertain_insufficient_evidence,0,0,1,1,0,1,uncertain_or_not_supervision_label
market_item.xlsx|darkfox market|seller_raw:ThaKingDadpop||market_item.xlsx|tor2door market|seller_raw:Muankum12,en_content_train_pool,en,test,comp_00016,positive,text_clone_primary,1,1,,,,,,0.933432,0.923288,0.955613,0.508474,ThaKingDadpop,Muankum12,same_controller,same_controller_style_structural_soft,1,1,0,1,0,1,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:asimpleuser||market_item.xlsx|silk road 3.1|seller_raw:caug,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.932186,0.911786,0.90283,0.745028,asimpleuser,caug,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|Lime|seller_raw:Lordpharma,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.953941,0.890804,0.942372,0.776121,Cityshop,Lordpharma,uncertain,uncertain_insufficient_evidence,0,0,1,0,0,1,uncertain_or_not_supervision_label
market_item.xlsx|tor2door market|seller_raw:fraudbuddy||market_item.xlsx|versus market|seller_raw:melvinbankz,en_content_train_pool,en,test,comp_00022,negative,semantic_only,1,1,,,,,,0.921264,0.88477,0.927315,0.313126,fraudbuddy,melvinbankz,different_controller,public_contact_or_url_noise,1,1,0,0,1,1,review_notes_public_or_non_seller_keyword
market_item.xlsx|agartha market|seller_raw:lizardpro||market_item.xlsx|apollon market|seller_raw:kingslord (100%),en_content_train_pool,en,valid,comp_00039,positive,identifier_plus_text,1,1,,,,,,0.898365,0.839004,0.888098,0.045513,lizardpro,kingslord (100%),same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:caug||market_item.xlsx|silk road 3.1|seller_raw:janmolen,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.920492,0.900871,0.91224,0.745028,caug,janmolen,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:allsupplies||market_item.xlsx|silk road 3.1|seller_raw:goldguy,en_content_train_pool,en,valid,comp_00217,positive,identifier_primary,1,1,,,,,,0.866463,0.807152,0.763663,0.19075,allsupplies,goldguy,same_controller,same_controller_direct_identifier,1,1,1,1,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|tor2door market|seller_raw:Melvinbankz||market_item.xlsx|vice city|seller_raw:Fraudbuddy,en_content_train_pool,en,test,comp_00022,negative,semantic_only,1,1,,,,,,0.903978,0.85916,0.909535,0.311424,Melvinbankz,Fraudbuddy,different_controller,public_contact_or_url_noise,1,1,0,0,1,1,review_notes_public_or_non_seller_keyword
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:chrisstore24,en_content_train_pool,en,train,comp_00030,positive,identifier_plus_text,1,1,,,,,,0.938713,0.874159,0.924276,0.356087,Cityshop,chrisstore24,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:caug||market_item.xlsx|silk road 3.1|seller_raw:johnsenasss666,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.922969,0.900099,0.889526,0.745028,caug,johnsenasss666,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:kome||market_item.xlsx|silk road 3.1|seller_raw:mark7000,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.937675,0.914228,0.911221,0.744533,kome,mark7000,uncertain,uncertain_insufficient_evidence,0,0,1,0,0,1,uncertain_or_not_supervision_label
market_item.xlsx|agartha market|seller_raw:Jamesrox||market_item.xlsx|agartha market|seller_raw:labdoctor,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_plus_text,0,0,,,,,,0.924135,0.922838,0.95679,0.616129,Jamesrox,labdoctor,uncertain,uncertain_insufficient_evidence,0,0,1,1,0,1,uncertain_or_not_supervision_label
market_item.xlsx|dark0de|seller_raw:pickwickfactorynl||market_item.xlsx|darkfox market|seller_raw:PickwckFctryNL,en_content_train_pool,en,train,comp_00138,positive,text_clone_primary,1,1,,,,,,0.913735,0.886958,0.936213,0.552291,pickwickfactorynl,PickwckFctryNL,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:caug||market_item.xlsx|silk road 3.1|seller_raw:fluxay,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.92099,0.907329,0.918901,0.620028,caug,fluxay,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:gennexlabs||market_item.xlsx|silk road 3.1|seller_raw:shilpameds,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.876147,0.875067,0.711329,0.204548,gennexlabs,shilpameds,uncertain,uncertain_insufficient_evidence,0,0,1,0,1,1,uncertain_or_not_supervision_label
market_item.xlsx|silk road 3.1|seller_raw:WestUnionCommite||market_item.xlsx|silk road 3.1|seller_raw:goodman209,en_content_train_pool,en,test,comp_00164,negative,semantic_only,1,1,,,,,,0.953208,0.931096,0.959691,0.480088,WestUnionCommite,goodman209,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Lime|seller_raw:methking||market_item.xlsx|agartha market|seller_raw:dreamboss,en_content_train_pool,en,train,comp_00044,positive,identifier_plus_text,1,1,,,,,,0.910188,0.867551,0.86486,0.217013,methking,dreamboss,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|agartha market|seller_raw:EU_STORE||market_item.xlsx|agartha market|seller_raw:legit1,en_content_train_pool,en,train,comp_00048,positive,text_clone_primary,1,1,,,,,,0.958812,0.95691,0.969466,0.834596,EU_STORE,legit1,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Drkseidcontinues||market_item.xlsx|silk road 3.1|seller_raw:Drkseidforever,en_content_train_pool,en,train,comp_00194,negative,semantic_structural,1,1,,,,,,0.948193,0.947138,0.929413,0.845344,Drkseidcontinues,Drkseidforever,different_controller,template_clone_not_controller,1,1,0,1,0,0,feature_shared_rare_ngram_count
market_item.xlsx|silk road 3.1|seller_raw:allsupplies||market_item.xlsx|silk road 3.1|seller_raw:bodypartsguy,en_content_train_pool,en,valid,comp_00217,positive,identifier_primary,1,1,,,,,,0.866537,0.800197,0.738188,0.117597,allsupplies,bodypartsguy,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:Rickwoodopoids||market_item.xlsx|silk road 3.1|seller_raw:mcwilliams,en_content_train_pool,en,train,comp_00230,negative,semantic_only,1,1,,,,,,0.933455,0.911769,0.925301,0.45597,Rickwoodopoids,mcwilliams,different_controller,template_clone_not_controller,1,1,0,1,0,0,feature_shared_low_df_sentence_count
market_item.xlsx|Lime|seller_raw:ketplug||market_item.xlsx|agartha market|seller_raw:CITYSHOP92,en_content_train_pool,en,train,comp_00030,positive,identifier_plus_text,1,1,,,,,,0.893114,0.845477,0.911328,0.221053,ketplug,CITYSHOP92,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|darkfox market|seller_raw:ThaKingDadpop||market_item.xlsx|vice city|seller_raw:Muankum12,en_content_train_pool,en,test,comp_00016,positive,text_clone_primary,1,1,,,,,,0.941568,0.922807,0.960643,0.38998,ThaKingDadpop,Muankum12,same_controller,same_controller_style_structural_soft,1,1,0,1,0,1,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:kelu||market_item.xlsx|silk road 3.1|seller_raw:kelux,en_content_train_pool,en,uncertain_holdout,,uncertain,semantic_structural,0,0,,,,,,0.951667,0.93907,0.948821,0.933706,kelu,kelux,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|agartha market|seller_raw:slimdude||market_item.xlsx|agartha market|seller_raw:smack112,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.944768,0.942309,0.952094,0.702927,slimdude,smack112,uncertain,uncertain_insufficient_evidence,0,0,1,0,0,1,uncertain_or_not_supervision_label
market_item.xlsx|agartha market|seller_raw:USADruglord||market_item.xlsx|agartha market|seller_raw:medicalfarmer,en_content_train_pool,en,train,comp_00030,positive,identifier_plus_text,1,1,,,,,,0.960534,0.938104,0.954005,0.641556,USADruglord,medicalfarmer,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|apollon market|seller_raw:AMSTERDAM-TRANSPORT (100%)||market_item.xlsx|apollon market|seller_raw:HollandOnline (95%),en_content_train_pool,en,train,comp_00057,positive,text_clone_primary,1,1,,,,,,0.90672,0.83289,0.907443,0.703065,AMSTERDAM-TRANSPORT (100%),HollandOnline (95%),same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:hellomrsnickers||market_item.xlsx|silk road 3.1|seller_raw:welcomemrsnickers,en_content_train_pool,en,uncertain_holdout,,uncertain,semantic_structural,0,0,,,,,,0.939791,0.927502,0.934352,0.856835,hellomrsnickers,welcomemrsnickers,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|agartha market|seller_raw:beckynaf||market_item.xlsx|agartha market|seller_raw:papylondon,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.922866,0.898158,0.926272,0.675398,beckynaf,papylondon,uncertain,uncertain_insufficient_evidence,0,0,1,0,0,1,uncertain_or_not_supervision_label
market_item.xlsx|darkfox market|seller_raw:ahemweedshop||market_item.xlsx|darkfox market|seller_raw:lifebotoxshop,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_plus_text,0,0,,,,,,0.934581,0.92469,0.943879,0.647819,ahemweedshop,lifebotoxshop,uncertain,uncertain_insufficient_evidence,0,0,1,1,0,1,uncertain_or_not_supervision_label
